id,event,kickoff_time,team_h,team_a,team_h_difficulty,team_a_difficulty,finished,finished_provisional,started,minutes
371,38,2026-05-24T15:00:00Z,6,14,3,3,False,False,False,0
372,38,2026-05-24T15:00:00Z,3,20,2,2,False,False,False,0
373,38,2026-05-24T15:00:00Z,8,1,4,3,False,False,False,0
374,38,2026-05-24T15:00:00Z,10,15,3,3,False,False,False,0
375,38,2026-05-24T15:00:00Z,12,5,3,5,False,False,False,0
376,38,2026-05-24T15:00:00Z,13,2,3,4,False,False,False,0
377,38,2026-05-24T15:00:00Z,16,4,3,3,False,False,False,0
379,38,2026-05-24T15:00:00Z,18,9,2,3,False,False,False,0
378,38,2026-05-24T15:00:00Z,17,7,3,2,False,False,False,0
380,38,2026-05-24T15:00:00Z,19,11,2,2,False,False,False,0
